player1 | 200 | Level 1 | 2025-10-20 16:03:52
player1 | 200 | Level 1 | 2025-10-20 16:03:53
player1 | 200 | Level 1 | 2025-10-20 16:03:53
player1 | 200 | Level 1 | 2025-10-20 16:03:53
player1 | 200 | Level 1 | 2025-10-20 16:03:53
player1 | 200 | Level 1 | 2025-10-20 16:03:53
player1 | 200 | Level 1 | 2025-10-20 16:03:53
player1 | 200 | Level 1 | 2025-10-20 16:03:53
player1 | 200 | Level 1 | 2025-10-20 16:03:53
player1 | 200 | Level 1 | 2025-10-20 16:03:54
player1 | 200 | Level 1 | 2025-10-20 16:03:54
player1 | 200 | Level 1 | 2025-10-20 16:03:54
player1 | 200 | Level 1 | 2025-10-20 16:03:54
player1 | 200 | Level 1 | 2025-10-20 16:03:54
player1 | 200 | Level 1 | 2025-10-20 16:03:54
player1 | 200 | Level 1 | 2025-10-20 16:03:54
player1 | 200 | Level 1 | 2025-10-20 16:03:54
player1 | 200 | Level 1 | 2025-10-20 16:03:54
player1 | 200 | Level 1 | 2025-10-20 16:03:55
player1 | 200 | Level 1 | 2025-10-20 16:03:55
player1 | 200 | Level 1 | 2025-10-20 16:03:55
player1 | 200 | Level 1 | 2025-10-20 16:03:55
player1 | 200 | Level 1 | 2025-10-20 16:03:55
player1 | 200 | Level 1 | 2025-10-20 16:03:55
player1 | 200 | Level 1 | 2025-10-20 16:03:55
player1 | 200 | Level 1 | 2025-10-20 16:03:55
player1 | 200 | Level 1 | 2025-10-20 16:03:55
player1 | 200 | Level 1 | 2025-10-20 16:03:55
player1 | 200 | Level 1 | 2025-10-20 16:03:55
player1 | 200 | Level 1 | 2025-10-20 16:03:56
player1 | 200 | Level 1 | 2025-10-20 16:03:56
player1 | 200 | Level 1 | 2025-10-20 16:03:56
player1 | 200 | Level 1 | 2025-10-20 16:03:56
player1 | 200 | Level 1 | 2025-10-20 16:03:56
player1 | 200 | Level 1 | 2025-10-20 16:03:56
player1 | 200 | Level 1 | 2025-10-20 16:03:56
player1 | 200 | Level 1 | 2025-10-20 16:03:56
player1 | 200 | Level 1 | 2025-10-20 16:03:56
player1 | 200 | Level 1 | 2025-10-20 16:03:57
player1 | 200 | Level 1 | 2025-10-20 16:03:57
player1 | 200 | Level 1 | 2025-10-20 16:03:57
player1 | 200 | Level 1 | 2025-10-20 16:03:57
player1 | 200 | Level 1 | 2025-10-20 16:03:57
player1 | 200 | Level 1 | 2025-10-20 16:03:57
player1 | 200 | Level 1 | 2025-10-20 16:03:57
player1 | 200 | Level 1 | 2025-10-20 16:03:57
player1 | 200 | Level 1 | 2025-10-20 16:03:57
player1 | 200 | Level 1 | 2025-10-20 16:03:57
player1 | 200 | Level 1 | 2025-10-20 16:03:57
player1 | 200 | Level 1 | 2025-10-20 16:03:58
player1 | 200 | Level 1 | 2025-10-20 16:03:58
player1 | 200 | Level 1 | 2025-10-20 16:03:58
player1 | 200 | Level 1 | 2025-10-20 16:03:58
player1 | 200 | Level 1 | 2025-10-20 16:03:58
player1 | 200 | Level 1 | 2025-10-20 16:03:58
player1 | 200 | Level 1 | 2025-10-20 16:03:58
player1 | 200 | Level 1 | 2025-10-20 16:03:58
player1 | 200 | Level 1 | 2025-10-20 16:03:58
player1 | 200 | Level 1 | 2025-10-20 16:03:58
player1 | 200 | Level 1 | 2025-10-20 16:03:58
player1 | 200 | Level 1 | 2025-10-20 16:03:58
player1 | 200 | Level 1 | 2025-10-20 16:03:59
player1 | 200 | Level 1 | 2025-10-20 16:03:59
player1 | 200 | Level 1 | 2025-10-20 16:03:59
player1 | 200 | Level 1 | 2025-10-20 16:03:59
player1 | 200 | Level 1 | 2025-10-20 16:03:59
player1 | 200 | Level 1 | 2025-10-20 16:03:59
player1 | 200 | Level 1 | 2025-10-20 16:03:59
player1 | 200 | Level 1 | 2025-10-20 16:03:59
player1 | 200 | Level 1 | 2025-10-20 16:03:59
player1 | 200 | Level 1 | 2025-10-20 16:03:59
player1 | 200 | Level 1 | 2025-10-20 16:03:59
player1 | 200 | Level 1 | 2025-10-20 16:03:59
player1 | 200 | Level 1 | 2025-10-20 16:04:00
player1 | 200 | Level 1 | 2025-10-20 16:04:00
player1 | 200 | Level 1 | 2025-10-20 16:04:00
